sentence_id	sentence	target	category	polarity	category_polarity	entailed	start	end
TripAdivisor_Vi_0:0	đầy đủ dịch vụ tiện nghi .	đầy đủ dịch vụ tiện nghi	service	positive	service positive	yes	1	7
TripAdivisor_Vi_0:0	đầy đủ dịch vụ tiện nghi .	đầy đủ dịch vụ tiện nghi	service	negative	service negative	no	0	0
TripAdivisor_Vi_0:0	đầy đủ dịch vụ tiện nghi .	đầy đủ dịch vụ tiện nghi	service	neutral	service neutral	no	0	0
TripAdivisor_Vi_0:1	ăn sáng buffet ngon .	ăn sáng buffet ngon	service	positive	service positive	yes	1	5
TripAdivisor_Vi_0:1	ăn sáng buffet ngon .	ăn sáng buffet ngon	service	negative	service negative	no	0	0
TripAdivisor_Vi_0:1	ăn sáng buffet ngon .	ăn sáng buffet ngon	service	neutral	service neutral	no	0	0
TripAdivisor_Vi_0:2	hồ bơi đẹp .	hồ bơi đẹp	facility	positive	facility positive	yes	1	4
TripAdivisor_Vi_0:2	hồ bơi đẹp .	hồ bơi đẹp	facility	negative	facility negative	no	0	0
TripAdivisor_Vi_0:2	hồ bơi đẹp .	hồ bơi đẹp	facility	neutral	facility neutral	no	0	0
TripAdivisor_Vi_0:3	vị trí di chuyển thuận lợi gần hồ tây .	vị trí di chuyển thuận lợi gần hồ tây	amenity	positive	amenity positive	yes	1	10
TripAdivisor_Vi_0:3	vị trí di chuyển thuận lợi gần hồ tây .	vị trí di chuyển thuận lợi gần hồ tây	amenity	negative	amenity negative	no	0	0
TripAdivisor_Vi_0:3	vị trí di chuyển thuận lợi gần hồ tây .	vị trí di chuyển thuận lợi gần hồ tây	amenity	neutral	amenity neutral	no	0	0
TripAdivisor_Vi_0:4	phòng nhỏ nhưng sang trọng rất đẹp , phòng có view thoáng có khu tầng cao rooftop rất thích .	phòng nhỏ nhưng sang trọng rất đẹp , phòng có view thoáng có khu tầng cao rooftop rất thích	facility	positive	facility positive	yes	1	20
TripAdivisor_Vi_0:4	phòng nhỏ nhưng sang trọng rất đẹp , phòng có view thoáng có khu tầng cao rooftop rất thích .	phòng nhỏ nhưng sang trọng rất đẹp , phòng có view thoáng có khu tầng cao rooftop rất thích	facility	negative	facility negative	no	0	0
TripAdivisor_Vi_0:4	phòng nhỏ nhưng sang trọng rất đẹp , phòng có view thoáng có khu tầng cao rooftop rất thích .	phòng nhỏ nhưng sang trọng rất đẹp , phòng có view thoáng có khu tầng cao rooftop rất thích	facility	neutral	facility neutral	no	0	0
TripAdivisor_Vi_1:0	khách sạn mới , sạch sẽ , có bar và bể bơi ở tầng thượng , có view đẹp nhìn ra sông .	khách sạn mới , sạch sẽ , có bar và bể bơi ở tầng thượng , có view đẹp nhìn ra sông	facility	positive	facility positive	yes	1	23
TripAdivisor_Vi_1:0	khách sạn mới , sạch sẽ , có bar và bể bơi ở tầng thượng , có view đẹp nhìn ra sông .	khách sạn mới , sạch sẽ , có bar và bể bơi ở tầng thượng , có view đẹp nhìn ra sông	facility	negative	facility negative	no	0	0
TripAdivisor_Vi_1:0	khách sạn mới , sạch sẽ , có bar và bể bơi ở tầng thượng , có view đẹp nhìn ra sông .	khách sạn mới , sạch sẽ , có bar và bể bơi ở tầng thượng , có view đẹp nhìn ra sông	facility	neutral	facility neutral	no	0	0
TripAdivisor_Vi_1:1	vị trí rất thuận tiện cho việc đi lại .	vị trí rất thuận tiện cho việc đi lại	amenity	positive	amenity positive	yes	1	10
TripAdivisor_Vi_1:1	vị trí rất thuận tiện cho việc đi lại .	vị trí rất thuận tiện cho việc đi lại	amenity	negative	amenity negative	no	0	0
TripAdivisor_Vi_1:1	vị trí rất thuận tiện cho việc đi lại .	vị trí rất thuận tiện cho việc đi lại	amenity	neutral	amenity neutral	no	0	0
TripAdivisor_Vi_1:2	phòng nghỉ bố trí hài hòa , tiện nghi .	phòng nghỉ bố trí hài hòa , tiện nghi	facility	positive	facility positive	yes	1	10
TripAdivisor_Vi_1:2	phòng nghỉ bố trí hài hòa , tiện nghi .	phòng nghỉ bố trí hài hòa , tiện nghi	facility	negative	facility negative	no	0	0
